CoC_Number,State,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Homeless_People_in_Families,Chronically_Homeless,Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_18,Count_Year
AK-500,AK,Anchorage CoC,1023,665,305,0,970,53,736,287,101,138,,2014
AK-500,AK,Anchorage CoC,1147,704,393,0,1097,50,791,356,114,174,,2012
AK-500,AK,Anchorage CoC,1094,751,249,0,1000,94,814,280,177,62,5,2018
AK-500,AK,Anchorage CoC,1122,676,394,0,1070,52,844,278,89,144,,2013
AK-500,AK,Anchorage CoC,1105,573,292,0,865,240,905,200,50,89,3,2016
AK-500,AK,Anchorage CoC,1208,694,335,0,1029,179,837,371,127,130,12,2015
AK-500,AK,Anchorage CoC,1128,654,319,0,973,155,848,280,116,69,8,2017
AK-501,AK,Alaska Balance of State CoC,824,461,210,0,671,153,518,306,95,66,,2013
AK-501,AK,Alaska Balance of State CoC,748,433,177,0,610,138,505,243,95,50,12,2015
AK-501,AK,Alaska Balance of State CoC,717,363,215,0,578,139,506,211,141,55,7,2017
AK-501,AK,Alaska Balance of State CoC,922,497,210,0,707,215,620,302,180,70,3,2018
AK-501,AK,Alaska Balance of State CoC,835,434,199,0,633,202,622,213,72,79,16,2016
AK-501,AK,Alaska Balance of State CoC,766,435,184,0,619,147,507,259,165,82,,2012
AK-501,AK,Alaska Balance of State CoC,761,474,195,0,669,92,473,288,105,40,,2014
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1329,387,497,31,915,414,915,414,331,174,,2014
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092,540,304,31,875,217,932,160,92,40,2,2017
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1469,373,556,31,960,509,1089,380,427,194,,2013
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",901,431,219,32,682,219,720,181,119,133,4,2018
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1153,448,448,20,916,237,886,267,241,144,9,2015
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1707,347,630,32,1009,698,1222,485,495,175,,2012
AL-500,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1228,531,467,34,1032,196,927,301,92,158,9,2016
AL-501,AL,Mobile City & County/Baldwin County CoC,551,225,93,0,318,233,399,152,59,52,0,2018
AL-501,AL,Mobile City & County/Baldwin County CoC,606,196,145,0,341,265,426,180,65,76,0,2017
AL-501,AL,Mobile City & County/Baldwin County CoC,623,284,103,0,387,236,477,146,80,66,0,2016
AL-501,AL,Mobile City & County/Baldwin County CoC,493,153,107,0,260,233,343,150,91,41,,2013
AL-501,AL,Mobile City & County/Baldwin County CoC,634,212,112,0,324,310,422,212,75,52,,2012
AL-501,AL,Mobile City & County/Baldwin County CoC,578,258,106,0,364,214,470,108,107,94,1,2015
AL-501,AL,Mobile City & County/Baldwin County CoC,598,287,174,0,461,137,397,201,75,61,,2014
AL-502,AL,Florence/Northwest Alabama CoC,209,38,151,0,189,20,132,77,13,7,,2014
AL-502,AL,Florence/Northwest Alabama CoC,245,60,154,0,214,31,158,87,28,16,0,2015
AL-502,AL,Florence/Northwest Alabama CoC,192,18,170,0,188,4,162,30,3,7,,2012
AL-502,AL,Florence/Northwest Alabama CoC,155,27,106,0,133,22,155,0,24,11,0,2017
AL-502,AL,Florence/Northwest Alabama CoC,223,22,175,0,197,26,133,90,30,2,,2013
AL-502,AL,Florence/Northwest Alabama CoC,337,85,201,0,286,51,194,143,39,19,0,2016
AL-502,AL,Florence/Northwest Alabama CoC,256,128,106,0,234,22,166,90,136,8,16,2018
AL-503,AL,Huntsville/North Alabama CoC,607,336,96,0,432,175,448,159,185,42,,2012
AL-503,AL,Huntsville/North Alabama CoC,424,283,25,0,308,116,336,88,111,34,5,2018
AL-503,AL,Huntsville/North Alabama CoC,536,413,86,0,499,37,386,150,107,64,,2014
AL-503,AL,Huntsville/North Alabama CoC,420,339,18,0,357,63,300,120,119,39,3,2015
AL-503,AL,Huntsville/North Alabama CoC,586,320,89,0,409,177,457,129,120,77,,2013
AL-503,AL,Huntsville/North Alabama CoC,385,282,16,0,298,87,283,102,102,29,3,2016
AL-503,AL,Huntsville/North Alabama CoC,436,325,12,0,337,99,327,109,64,27,13,2017
AL-504,AL,Montgomery City & County CoC,369,173,127,0,300,69,272,97,63,54,9,2018
AL-504,AL,Montgomery City & County CoC,487,96,247,0,343,144,383,104,82,67,,2012
AL-504,AL,Montgomery City & County CoC,441,171,202,0,373,68,333,108,24,40,2,2015
AL-504,AL,Montgomery City & County CoC,377,221,93,0,314,63,284,93,45,55,5,2017
AL-504,AL,Montgomery City & County CoC,367,173,120,0,293,74,285,82,28,41,0,2016
AL-504,AL,Montgomery City & County CoC,490,120,289,0,409,81,365,125,37,39,,2014
AL-504,AL,Montgomery City & County CoC,515,159,240,0,399,116,446,69,69,59,,2013
AL-505,AL,Gadsden/Northeast Alabama CoC,146,74,4,8,86,60,119,27,35,8,8,2018
AL-505,AL,Gadsden/Northeast Alabama CoC,544,211,213,0,424,120,451,93,44,13,,2012
AL-505,AL,Gadsden/Northeast Alabama CoC,167,55,36,0,91,76,133,34,22,13,14,2016
AL-505,AL,Gadsden/Northeast Alabama CoC,163,91,12,0,103,60,130,33,43,4,14,2017
AL-505,AL,Gadsden/Northeast Alabama CoC,438,354,14,0,368,70,359,79,36,34,,2014
AL-505,AL,Gadsden/Northeast Alabama CoC,156,97,6,0,103,53,140,16,2,11,14,2015
AL-505,AL,Gadsden/Northeast Alabama CoC,399,159,170,0,329,70,275,124,40,31,,2013
AL-506,AL,Tuscaloosa City & County CoC,245,11,122,0,133,112,167,78,80,90,,2014
AL-506,AL,Tuscaloosa City & County CoC,57,35,21,0,56,1,35,22,4,10,0,2018
AL-506,AL,Tuscaloosa City & County CoC,177,14,33,0,47,130,105,72,13,19,0,2016
AL-506,AL,Tuscaloosa City & County CoC,99,11,84,0,95,4,72,27,9,66,,2013
AL-506,AL,Tuscaloosa City & County CoC,152,12,116,0,128,24,99,53,39,114,,2012
AL-506,AL,Tuscaloosa City & County CoC,200,93,41,3,137,63,140,60,24,41,0,2017
AL-506,AL,Tuscaloosa City & County CoC,339,0,144,0,144,195,188,151,50,81,0,2015
AL-507,AL,Alabama Balance of State CoC,730,170,270,0,440,290,523,207,13,40,2,2018
AL-507,AL,Alabama Balance of State CoC,886,431,385,0,816,70,638,248,46,56,,2012
AL-507,AL,Alabama Balance of State CoC,716,241,303,0,544,172,394,322,50,73,,2014
AL-507,AL,Alabama Balance of State CoC,905,358,239,0,597,308,572,333,72,41,,2013
AL-507,AL,Alabama Balance of State CoC,764,151,265,0,416,348,591,173,6,15,2,2017
AL-507,AL,Alabama Balance of State CoC,827,177,282,0,459,368,615,212,44,28,2,2016
AL-507,AL,Alabama Balance of State CoC,638,201,271,0,472,166,393,245,36,49,3,2015
AR-500,AR,Little Rock/Central Arkansas CoC,1066,244,319,0,563,503,986,80,373,260,,2013
AR-500,AR,Little Rock/Central Arkansas CoC,1006,316,140,0,456,550,892,114,226,121,8,2017
AR-500,AR,Little Rock/Central Arkansas CoC,830,254,237,0,491,339,764,66,220,190,0,2015
AR-500,AR,Little Rock/Central Arkansas CoC,1074,342,229,0,571,503,951,123,350,197,,2014
AR-500,AR,Little Rock/Central Arkansas CoC,1081,335,196,0,531,550,950,131,232,124,14,2018
AR-500,AR,Little Rock/Central Arkansas CoC,1249,329,433,0,762,487,1065,184,123,266,,2012
AR-500,AR,Little Rock/Central Arkansas CoC,808,288,181,0,469,339,742,66,208,121,3,2016
AR-501,AR,Fayetteville/Northwest Arkansas CoC,665,431,173,0,604,61,330,335,202,197,0,2015
AR-501,AR,Fayetteville/Northwest Arkansas CoC,668,313,133,0,446,222,379,289,65,147,,2013
AR-501,AR,Fayetteville/Northwest Arkansas CoC,474,107,216,0,323,151,348,126,42,60,22,2018
AR-501,AR,Fayetteville/Northwest Arkansas CoC,186,54,93,0,147,39,109,77,60,30,,2012
AR-501,AR,Fayetteville/Northwest Arkansas CoC,550,251,238,0,489,61,359,191,90,56,32,2016
AR-501,AR,Fayetteville/Northwest Arkansas CoC,330,127,108,0,235,95,235,95,66,46,0,2017
AR-501,AR,Fayetteville/Northwest Arkansas CoC,551,156,173,0,329,222,388,163,39,98,,2014
AR-503,AR,Arkansas  Balance of State  CoC,774,317,68,0,385,389,505,269,109,22,0,2015
AR-503,AR,Arkansas  Balance of State  CoC,768,243,66,0,309,459,666,102,107,31,0,2018
AR-503,AR,Arkansas  Balance of State  CoC,761,304,76,0,380,381,533,228,101,25,0,2016
AR-503,AR,Arkansas  Balance of State  CoC,1056,370,50,0,420,636,762,294,50,35,,2014
AR-503,AR,Arkansas  Balance of State  CoC,1760,376,94,0,470,1290,1603,157,114,46,,2013
AR-503,AR,Arkansas  Balance of State  CoC,875,332,82,0,414,461,761,114,110,33,0,2017
AR-503,AR,Arkansas  Balance of State  CoC,1930,399,163,0,562,1368,1788,142,171,60,,2012
AR-504,AR,Delta Hills CoC,57,16,10,6,32,25,51,6,18,11,0,2018
AR-504,AR,Delta Hills CoC,254,41,81,0,122,132,172,82,46,9,,2013
AR-504,AR,Delta Hills CoC,40,26,12,2,40,0,33,7,0,12,0,2015
AR-504,AR,Delta Hills CoC,785,40,27,0,67,718,423,362,83,6,,2012
AR-504,AR,Delta Hills CoC,89,79,0,10,89,0,27,62,24,0,0,2016
AR-505,AR,Southeast Arkansas CoC,88,78,10,0,88,0,49,39,0,2,9,2017
AR-505,AR,Southeast Arkansas CoC,70,58,12,0,70,0,39,31,0,1,,2014
AR-505,AR,Southeast Arkansas CoC,64,63,0,0,63,1,34,30,4,0,,2013
AR-505,AR,Southeast Arkansas CoC,89,78,0,0,78,11,46,43,26,2,14,2016
AR-505,AR,Southeast Arkansas CoC,101,85,10,0,95,6,53,48,0,3,7,2018
AR-505,AR,Southeast Arkansas CoC,64,64,0,0,64,0,43,21,0,0,,2012
AR-505,AR,Southeast Arkansas CoC,72,59,12,0,71,1,51,21,2,2,0,2015
AR-508,AR,Fort Smith CoC,166,92,19,0,111,55,131,35,54,18,0,2016
AR-508,AR,Fort Smith CoC,231,147,18,0,165,66,212,19,67,22,0,2018
AR-508,AR,Fort Smith CoC,185,95,18,0,113,72,163,22,80,30,,2014
